,HF Rep 1,TTA Rep 1,FO Rep 1,TTA+FO Rep 1,HF Rep 2,TTA Rep 2,FO Rep 2,TTA+FO Rep 2,HF Rep 3,TTA Rep 3,FO Rep 3,TTA+FO Rep 3
P05178,0.5719792509,-1.0550098404,0.7754760164,-0.1283567833,0.4576876391,-0.7073556184,0.6443829531,-0.2362027148,-0.0779216408,-0.6793369013,0.6669479056,0.0052952704
P05179,1.7266055418,-1.8180450982,1.0493111785,-1.2239110609,2.8114579458,-2.1109530388,1.1839934599,-0.8751919122,1.8208659752,-1.2076913308,1.2752000013,-1.6446729339
P05179;P20814,1.9589897093,-0.7273829916,1.2816282957,-1.8828104817,1.8238414528,-1.9269086602,0.1030672074,NA,NA,NA,NA,NA
P05182,0.5429773779,-0.381107212,-0.0259044848,-0.3199031134,0.1988990944,-0.046198124,-0.0058357317,-0.1123607493,0.29671464,-0.2822988572,-0.2463799296,0.3012359399
P05183,0.1800955255,0.0266603906,0.0504484852,-0.0750033998,-0.7109090863,0.0888403734,0.4263957751,0.4039035903,-0.5699886341,-0.0449042502,0.0756724079,0.503604723
P05197,0.1988160521,-0.1292660282,-0.0650518628,0.0005511265,0.1775604221,-0.0478239215,0.0768244541,-0.2250245348,0.0972308951,-0.0013752466,0.1132821349,-0.2352761436
P05369,-0.1266611838,0.2227418672,-0.1028910723,-0.0796772018,0.2224866278,0.1758616848,-0.709336437,-0.4586653604,0.5533707975,0.6528910492,-0.9009630058,-0.3312070628
P05426,0.1531588688,-0.1036151457,0.0393312556,0.1374933222,0.0060733131,-0.1951248769,0.031739289,-0.0092801113,0.0348630335,0.0257517798,0.0999750857,-0.1405146915
P05426;P33273,NA,NA,NA,NA,NA,NA,NA,NA,0.1528687184,0.2796163848,-0.2550075508,-0.1774775524
P05544,0.3336479699,-0.0440500728,-0.0908608721,-0.2983306276,0.0532075824,-0.1087031406,0.2226712266,-0.0981948726,NA,NA,NA,NA
P05544;P05545,NA,NA,NA,NA,NA,NA,NA,NA,0.5499947408,-0.602435274,-0.1248088568,0.032598426
P05545,0.506236993,-0.0299130074,0.230860194,-0.5823900236,0.1938387949,-0.0949927576,0.2395796809,-0.3344903488,0.4717688722,-0.4789425591,-0.0711971827,0.0205679519
P05712,0.0243147293,0.0185177311,0.0234702864,-0.0552852899,0.0719266801,0.0220027623,-0.1783431895,0.1685408467,0.243882449,0.0732153673,-0.0075243456,-0.2089313721
P05765,0.0553412964,-0.1407730037,-0.0861015412,0.0884356064,0.055533713,-0.0619662738,-0.0042827335,-0.0802237029,0.0558475947,0.0047200553,0.1482514303,-0.2432219957
P05982,1.2297089286,-1.3139916884,0.5912552198,-0.5669271371,NA,NA,NA,NA,-0.5164809157,0.3347999948,0.528015926,-0.1876073228
P06214,0.2900626841,-0.3265019718,0.2365499731,-0.1639923222,0.2575490506,-0.3104865309,0.2456283512,-0.1413769745,0.2156198179,-0.226566119,0.0230211452,-0.015519433
P06214;P97834,NA,NA,NA,NA,NA,NA,NA,NA,0.089640885,-0.2312862167,0.0869151295,0.0547302021
P06302,0.0135019261,-0.3314098623,0.0737304536,0.1859306767,NA,NA,NA,NA,NA,NA,NA,NA
P06399,0.2134600377,-0.4800085254,-0.0316326904,0.4233174463,0.1148141203,-0.1495818711,0.435941592,-0.3168260597,-0.0823885609,0.334935498,0.2121660513,-0.6123362335
P06685,0.1032745846,-0.0488826414,0.0514998003,-0.1618867109,0.1860715744,0.0697393239,-0.1362823452,-0.2102164086,0.0701329791,-0.1371010391,-0.1335066983,-0.2910027709
P06757,0.1587323175,-0.1997811114,0.2902949208,-0.2847765338,0.2577263713,-0.3615774039,0.0674168492,0.0973569588,-0.149149857,-0.1658268366,0.3713112632,-0.0454842705
P06760,-0.2491419427,-0.055658426,-0.1955311962,0.5522915102,-0.3924539,0.4380722648,-0.3309016107,0.4473553946,-0.6976422719,0.2046372987,-0.0261415095,0.4914504789
P06761,0.005201462,-0.2314700756,-0.0402442594,0.189910904,0.0357745984,-0.1056408056,0.1440442487,-0.0493170466,0.0542515216,0.0135225752,0.187503245,-0.2533293781
P06866,0.4093968528,-0.6380629426,-0.0107080043,0.3360343596,0.2444891292,-0.2226377194,0.4236416021,-0.4772584813,-0.1718167389,0.3788368178,0.4475254949,-0.6753056743
P07150,0.0417853486,-0.227031658,-0.0475266034,0.2442895109,NA,NA,NA,NA,NA,NA,NA,NA
P07151,0.3831047782,0.0496039046,-0.4052303793,-0.2105094423,NA,NA,NA,NA,NA,NA,NA,NA
P07153,0.2405288241,-0.2873924431,0.0564762736,0.0066157185,0.1884036511,-0.1556874789,0.1921240045,-0.2287458366,0.0807412454,-0.0865426377,0.2747886901,-0.2173642717
P07154,NA,NA,NA,NA,-0.4893623846,0.0937780974,0.3741205904,0.3276978909,NA,NA,NA,NA
P07308,NA,NA,NA,NA,0.2227173005,0.4771443116,-0.6148258053,0.2677866907,NA,NA,NA,NA
P07340,0.0503810427,0.1372640682,0.0131313783,0.1043433707,NA,NA,NA,NA,NA,NA,NA,NA
P07379,0.3613302754,-0.9482579595,0.7119940636,-0.2254114178,0.2871105191,-0.4255038089,0.3255567568,-0.2486530452,0.2332845538,-0.1955195592,0.4995250465,-0.54124694
P07483,-0.9631240326,1.6659625725,-1.2827281308,0.7743379903,-0.983976664,1.7384302568,-1.5040698953,1.3609234285,-0.6027967858,1.45541469,-1.4010455183,0.5281701712
P07632,-0.2702802415,-0.6221229962,-0.0381184417,0.6365167165,-0.1736029066,-0.4910687942,-0.2491726896,0.7934829402,0.2525970909,-0.1149858078,-0.0070604093,-0.1057230211
P07633,-0.084829669,0.0770441501,0.0446267809,0.0801709143,0.0297517033,0.0667925259,-0.083728222,0.0454868587,0.1367665765,0.00846768,-0.1267765639,0.0097491579
P07687,-0.2340360264,-0.1485703094,0.5618708722,-0.2961549164,0.3619094994,-0.2899252537,0.2894031824,-0.4053515572,0.2623664273,-0.4319328763,0.1663208411,0.0538757784
P07756,0.7929202901,-0.5332786539,0.6199463276,-0.7566330529,0.8066772277,-0.837460106,0.3849406234,-0.3137530772,0.634431994,-0.7186215586,0.2612635698,-0.1580270927
P07824,0.3760938967,-0.028778639,0.5020393433,-0.61520177,0.4140404849,-0.2847547817,0.1737688082,-0.2321696153,0.6947105879,-0.4773994914,0.1567115678,-0.1569860698
P07871,-0.4061133907,0.4451149433,-0.5752968812,0.6653413064,-1.3898574839,1.5217584463,-1.2102029108,1.1067423008,-1.815898171,1.2513508935,-0.4831710524,1.0312516054
P07872,-1.5359689448,0.7672323926,-0.7721688626,1.7542641907,-1.4986515421,1.1023977483,-0.5393158619,1.0114930157,-1.4957349916,1.2606993279,-0.1803283525,1.1644804275
P07895,-0.0389691934,0.075278165,0.0908910507,-0.1356982749,0.6864597201,0.4227841636,0.6826464484,0.2725847377,0.1173766023,0.0119451862,0.0428054836,0.0565752214
P07896,-1.5195887761,1.8395086418,-1.1576181471,1.7211151223,-1.6704382314,1.6321170958,-0.9233559212,1.1327143559,-1.8862222257,1.2375040063,-0.5739279303,1.0909667633
P07943,NA,NA,NA,NA,NA,NA,NA,NA,0.1994686248,-0.1816589608,-0.0025309894,-0.0095354944
P07953,0.2529125934,0.5178666642,-0.4128052604,0.093119773,-0.1434782838,0.0667387984,-0.0241073059,-0.1352950589,NA,NA,NA,NA
P08009,0.3097219604,0.1533592209,0.0096303494,-0.6608470386,-0.1959813186,0.2781508165,-0.250003549,0.2315883389,0.0656627271,-0.3238374201,-0.0243174087,0.1731997148
P08010,0.6282760138,-0.5147866972,0.6116216396,-0.6013832556,0.6528670609,-0.7955838855,0.5489465012,-0.3254764319,0.4396221694,-0.8758893697,0.4532913227,-0.0744022375
P08010;P08009,0.5720444235,-0.4578430582,0.5850756773,-0.5817158083,0.3892156668,-0.6300952177,0.3131931706,-0.178177384,0.4880043299,-0.7942653822,0.3791559916,0.0021450447
P08011,0.0066200024,-0.0952598226,0.1767678335,0.0453052565,0.0668789645,-0.1777342953,0.1421470921,-0.0745093554,0.0112627053,-0.0470993292,0.2021157686,-0.0532474148
P08081,0.2233826356,-0.2220871071,-0.0395745964,-0.2139257729,0.1800159791,-0.0684640489,0.1048990451,-0.1652199117,0.1716278086,-0.0025617772,0.0014465303,-0.2638441596
P08082,0.2671239301,-0.0724855282,0.0091947392,-0.0984753832,NA,NA,NA,NA,NA,NA,NA,NA
P08290,0.7999811381,-0.8965707825,0.6274696196,-0.3850950942,NA,NA,NA,NA,0.3584534028,-0.1180150821,0.2332252994,-0.4265059794
P08461,0.2102146016,0.1730001307,-0.0681079629,-0.2232534257,0.3133130963,-0.1309732926,-0.361559309,-0.0125935975,0.3912020079,0.0480244501,-0.2876968322,-0.1944249231
P08503,-0.2537415628,0.2544984831,-0.0448453161,0.0316406581,-0.1355871987,0.2427095224,-0.0140834601,0.0183593389,-0.2842214105,0.2601987767,-0.0213704649,0.0950144329
P08516,-1.1075354064,0.6363468746,-0.5233261974,0.9791501341,-1.2025546483,0.5261765225,-0.485644937,0.9865092373,-0.9883299533,0.7626449102,-0.3518828826,0.8836253582
P08541,0.1756545167,-0.1519829242,0.3748892996,-0.3724800108,1.0271909158,-1.6541431434,0.1734381154,-0.1956107897,-2.0808689488,0.2235457025,1.42937208,-0.3515879521
P08541;P08542;P19488;P36511,0.2785542084,-0.1332390218,0.1999733344,-0.345288521,NA,NA,NA,NA,NA,NA,NA,NA
P08542,0.0724229352,-0.1869098441,0.4596955773,-0.2597624271,0.1089470661,-0.2300845387,0.546260864,-0.4044431873,0.1087644469,-0.3129516506,0.3538247658,-0.272138597
P08542;P19488,0.1931018382,-0.3188699303,0.3883060398,-0.2732813974,0.4413487938,-0.2553400109,0.4847605502,-0.3261427182,0.4103912748,-0.5402659769,0.3248585131,-0.3548148395
P08649,0.2837244124,-0.5851574294,-0.1506386358,0.3328073056,0.3757071415,-0.1885267578,0.1907798847,-0.4165867176,0.2360419578,0.7974815818,0.8053806434,-0.4494011635
P08683,1.9728135506,-0.6478901569,1.2928877169,-0.4749627148,0.4654944865,-0.5747634725,0.6127339978,-0.5089422884,0.4815366454,-0.830091167,0.3177772737,0.3400685382
P08683;P00176,1.1568993016,-0.848734187,0.3866593224,-1.0114718751,NA,NA,NA,NA,NA,NA,NA,NA
P08683;P04167,NA,NA,NA,NA,0.3230550315,-0.389901396,0.3162414649,-0.3394103013,NA,NA,NA,NA
P08733,NA,NA,NA,NA,NA,NA,NA,NA,0.4511952315,0.2462835811,-0.5449210036,0.3474971132
P08932,NA,NA,NA,NA,0.4544187695,-0.0981278611,0.2953616962,-0.7309139701,NA,NA,NA,NA
P08932;P01048,0.178915324,-1.2157460448,-0.0885135004,1.1253442212,NA,NA,NA,NA,NA,NA,NA,NA
P09006,-0.0289923569,-0.1282867136,-0.2375480702,0.1315046654,-0.1588280476,0.5686204291,0.0347684871,-0.381950724,-0.1896139566,0.2572124433,0.1509999797,-0.0705836862
P09034,1.2157152281,-1.201493641,0.7060440357,-0.7902921603,1.3059278905,-1.0545984758,0.4069214201,-0.6751398167,0.9881490277,-0.8658606723,0.2465008463,-0.1593122718
P09118,0.1383961995,0.0575724556,0.229942809,-0.08718336,0.3316005561,-0.1161545146,-0.2011945164,-0.0382984826,-0.0500903504,-0.1343630302,-0.0003452314,0.1411029225
P09139,-0.4250531153,0.5775209278,-0.4942169249,0.3418684242,-0.9916866163,0.7937805018,-0.7682491884,0.9701510921,-0.8280101684,0.5564919322,-0.2943108991,0.446835703
P09330,0.2516525131,0.0825231558,-0.1855057277,-0.0257193329,NA,NA,NA,NA,NA,NA,NA,NA
P09495,0.380625213,0.0084195567,0.1926002863,0.0663212591,NA,NA,NA,NA,0.1362134784,0.161369433,-0.0577414629,-0.2599328869
P09527,0.0926406967,-0.0343857371,-0.1790754498,0.1205502849,0.2027749321,-0.0649240997,-0.0406332428,-0.1417310041,0.1143505062,0.1727171501,-0.0941644545,-0.2451551563
P09606,0.8905036541,0.0048206547,-0.8971875669,0.2478609839,0.2133191344,-0.0154444571,-0.3393089287,0.1307850423,0.5472666314,0.2763541557,-0.6081644814,-0.1770042455
P09811,0.434976008,-0.0282385439,0.1245722818,-0.5495387934,0.868533158,-0.1112469214,0.1554901218,0.1180549817,0.7918444229,-0.6514304909,-0.0442301511,-0.1315318377
P09875,0.1347019291,-0.9453801582,1.1390393942,-0.2491576865,0.4709684984,-0.7555996956,0.8539765939,-0.1793635659,0.683251067,0.1662097388,0.970931616,0.3539804944
P09875;P08541;Q64550;Q64638;P08542;P19488;P36511,0.1009432119,-0.1922769411,0.2910569617,-0.1997232324,0.4385930701,-0.5673369518,0.309571847,-0.1808279652,NA,NA,NA,NA
P09875;Q64550;Q64638;P08541;P08542;P19488;P36511,NA,NA,NA,NA,NA,NA,NA,NA,-0.2024200614,-0.1660628688,0.3806686165,-0.0121856862
P09895,-0.0062675714,-0.0372359655,-0.0054678674,0.0892827628,-0.0130832328,0.0444162621,0.022537251,-0.0021593873,0.0304113338,0.0617921174,0.0666688775,-0.2015072381
P0C0S7,0.1283887157,-0.0158295298,-0.0968067549,-0.0401662549,NA,NA,NA,NA,0.156135454,0.0995178326,-0.036637851,-0.1444498901
P0C0S7;P16617,0.0520580819,-0.0210481728,-0.0444696592,0.0134597502,NA,NA,NA,NA,NA,NA,NA,NA
P0C0S7;P61206;P16617,NA,NA,NA,NA,-0.0283941578,0.1339531247,-0.091275153,-0.0142838138,NA,NA,NA,NA
P0C2X9,0.3983509451,-0.3493899549,0.3374699374,-0.4247034719,0.3896595442,-0.4133732536,0.2114940867,-0.1949333841,0.3215492801,-0.3172609544,0.2122625198,-0.0833648874
P0C546,-0.3302375856,0.334880786,-0.290642366,0.3109817843,-0.2737194005,0.2534067288,-0.1047462694,0.3257320009,-0.5838577188,0.7222559009,-0.175575712,0.1763204539
P0C5H9,0.2841535145,-0.1199743878,-0.1671320484,0.0523419026,0.178885892,0.0209669035,0.0052510152,-0.2519076098,0.1232496119,-0.0087546889,0.1129662252,-0.3536868224
P0CC09;Q4FZT6,NA,NA,NA,NA,NA,NA,NA,NA,0.0874100577,0.0212251656,-0.1751073709,0.0058730423
P10037,NA,NA,NA,NA,0.0558851246,0.1097622802,-0.1864469216,0.0207995167,NA,NA,NA,NA
P10111,-0.1319263265,0.0523866274,-0.0919427006,0.1060124618,0.0810417745,0.1197801385,-0.1506308553,-0.0400834968,0.0908298884,-0.0034521388,-0.0581307405,-0.1264046242
P10536,0.31099236,-0.182887109,0.1492450977,-0.2041153371,0.1043354327,-0.2112080964,0.0891042327,-0.059738518,0.0790504792,-0.0936944792,-0.0460974493,-0.1429190235
P10633,0.2150417179,-0.1565345052,0.337943109,-0.5218069895,0.4145278861,-0.2819181269,0.2178741758,-0.3490111839,0.5792386566,-0.4170686442,0.0925276908,-0.336438781
P10633;P12938,NA,NA,NA,NA,NA,NA,NA,NA,0.2628483947,-0.4086121519,0.1874923097,-0.0461078116
P10633;P12938;P12939;P10634;P13108,0.2475481262,-0.3358148104,0.3701359925,-0.4188402981,NA,NA,NA,NA,NA,NA,NA,NA
P10633;P12939,0.3627722306,-0.137900044,0.3461842471,-0.5094955632,0.7066768774,-0.8097639079,0.0123597337,0.3711111158,NA,NA,NA,NA
P10634,0.3920364564,-0.1756673413,0.3809885076,-0.548856084,0.0203257102,-0.2503289971,0.4754450634,-0.3752044462,0.384494709,-0.2113777259,0.1863206609,-0.2281754265
P10634;P13108,0.1412953583,-0.1418590232,0.2263711921,-0.2331186661,NA,NA,NA,NA,NA,NA,NA,NA
P10634;Q64680,NA,NA,NA,NA,-0.0110132419,-0.3045423488,0.4929979968,-0.1766284684,NA,NA,NA,NA
P10719,-0.0621914458,0.0899431279,0.0087535719,-0.0669255226,0.0084256732,-0.1663539115,-0.006301842,0.1601521432,0.0405319667,0.1064335185,-0.1409279463,-0.0434561997
P10760,0.2625803639,-0.0250306359,0.1010091655,-0.3358448092,0.1436956008,-0.0262677643,-0.0588413103,-0.1219149116,0.2073502609,-0.1577967219,-0.054568994,-0.072865239
P10860,0.1795184648,0.0461039443,0.0239271474,-0.3238945191,0.0522923235,-0.2133225627,0.063848309,0.0744818472,0.3100859302,-0.3226713511,0.0161669018,-0.0323038003
P10867,0.6204619463,-0.1854103627,-0.0769156378,-0.1462067033,0.2886893412,-0.0158804291,-0.1892143434,-0.1190934235,0.275839336,-0.4316553246,-0.074665282,0.1195288765
P10868,0.4357985554,-0.4687602495,0.0890371972,0.1640165982,0.4199159898,-0.2252035354,0.2725974876,-0.3705191075,0.2136329015,-0.2000490531,0.3834910184,-0.2450814683
P10888,0.1712655578,-0.0568863094,-0.0107815661,-0.1116710002,0.350462949,0.1214636756,-0.1816316022,-0.228065887,0.3166239484,0.2348822866,-0.2657712532,-0.3050538801
P10960,-0.5733632048,0.059011793,-0.0799096283,0.5639118318,-0.5376776717,0.5137526138,-0.5230268462,0.5404772873,-0.2336377604,0.236023644,-0.4567097639,0.1367804867
P11030,-0.4091977339,0.4925677475,-0.3335350231,0.1893602547,0.301350235,0.2243976673,-0.6529968208,0.285429584,-0.1015536457,0.3242549047,-0.2274082694,-0.1174346086
P11030;Q6P6G7,-0.4376613388,0.3941076838,-0.2922652242,0.3358188792,NA,NA,NA,NA,NA,NA,NA,NA
P11232,0.2301673206,-0.3305619583,-0.022761849,0.0852950278,0.3358982618,-0.0801424245,0.0008302558,-0.0806030382,0.2206936848,0.0337913041,0.090168771,-0.4452635306
P11232;Q63342;Q5HZY2,0.0719137911,-0.3689233504,0.1132173584,0.1837922009,NA,NA,NA,NA,NA,NA,NA,NA
P11240,0.2981976673,0.0546161043,0.3275173198,-0.6021387511,0.5416540336,0.4439789576,0.2702824006,-0.6491071278,-0.1075506974,0.3546427421,-0.707990939,0.1295171442
P11250,0.0671773005,-0.1726552854,0.0541040693,0.1442813125,-0.1676148257,-0.2482618821,0.1971160131,0.0205343777,-0.025320628,-0.0114482663,0.0669122108,-0.2567542818
P11348,0.2861723489,-0.0749488159,0.1488095134,-0.3413623081,0.045914868,0.0263000816,-0.129511885,-0.1198227721,0.3741122241,-0.2267881089,0.009790265,-0.2595912359
P11442,0.1093276354,-0.1461945645,-0.0322115963,0.0138507575,0.1110367212,0.0373046638,-0.0454544059,-0.0605407944,0.1289322367,-0.0075159901,0.0322176336,-0.1655387151
P11466,-1.7702108715,-0.2183123362,-0.4568975551,1.7868012962,-0.8670440028,0.2193980546,-0.5139212449,1.8013451396,-0.4763799075,0.4078498297,-0.1960539877,0.3179139787
P11497,0.1041810263,0.3530650837,-0.7235489928,0.406048318,NA,NA,NA,NA,NA,NA,NA,NA
P11507,0.2425629776,-0.1722406007,0.1143360521,-0.0936782637,0.2132826923,0.0079031529,-0.0206152643,-0.1808438421,0.1228910502,0.0927686841,-0.0499475248,-0.2308517475
P11517,0.6602123079,-0.8537018538,0.4730948894,-0.2760176198,-0.0556132925,-0.332931912,0.6142332054,-0.3387367536,0.7450985405,-0.3049799114,0.1252539836,-0.4028754679
P11598,0.2015490521,-0.3389838542,0.0918320728,0.0491306549,0.2730740923,-0.2545274544,0.3103982759,-0.2859910303,0.0457825776,-0.0345358156,0.2786104676,-0.3122738605
P11608,0.0063138146,0.0738622838,-0.2081429548,0.1843539079,NA,NA,NA,NA,0.114110173,-0.0036029014,-0.0479822921,-0.2409255687
P11661,0.3716685583,-0.3495544544,0.1450417216,-0.42339696,NA,NA,NA,NA,NA,NA,NA,NA
P11711,0.4366194637,-0.6298326589,0.229167083,-0.2240727104,0.2190661022,0.0583953569,0.1553180542,-0.032814427,0.0281936081,-0.1136562612,0.0721322899,0.0094805338
P11884,0.5459521913,-0.3026505262,0.2510072735,-0.5048883842,0.58582921,-0.3476409384,0.1767669801,-0.3439517376,0.6069981028,-0.376748888,0.0175075793,-0.1683868797
P11915,-0.3097005278,-0.0315182876,0.0358454665,0.283794599,-0.1310912485,0.0644335577,-0.0483306764,0.1295484003,-0.3045081224,0.125853851,0.125674644,0.1341043073
P11951,0.3705763001,-0.2418862229,-0.103464212,-0.0412018153,0.3369710971,0.076526434,-0.1487138801,-0.2143065826,0.0089026784,0.0756572473,-0.1481582911,-0.1879731544
P11960,-0.0640793752,0.0027480819,-0.0276967011,0.0206737083,0.0775859032,0.0227989019,-0.15800514,-0.0380057348,-0.0778772459,0.0434040219,-0.0250689962,0.0503667836
P11980,0.8395335162,-0.365376724,0.1542036432,-0.4194581561,NA,NA,NA,NA,-0.1164357132,-0.2829049731,-0.5354552514,-0.0045099991
P12001,-0.0407836676,0.0023687499,-0.0688448644,0.0750343442,0.155335319,0.1192473687,0.0224480424,-0.1227012511,-0.0288874204,0.0924267244,-0.1342310419,0.0293050359
P12007,0.31716987,-0.1569962194,0.0874123624,-0.4475459883,0.0991965154,-0.1116715134,0.1536719267,-0.1489324211,0.0057530922,-0.1934733892,0.0857743741,0.0063383397
P12075,0.4093924129,-0.0102564284,0.2014173831,-0.3496576357,0.4729449879,0.0120389119,0.0634729012,-0.5042214242,0.2503299725,0.1941171615,-0.0985287861,-0.3634950808
P12336,0.7010098863,-0.4230081394,0.5480585946,-0.4641295024,0.9007165637,-0.9679072008,0.2468866125,-0.3710781623,1.06988509,-0.446544165,-0.0404318163,0.1285452111
P12346,0.215069202,-0.4599535419,0.2474919457,-0.0870728688,0.3236268027,-0.1688033447,0.2961158308,-0.4004582566,0.2089848245,-0.2488237019,0.4114436332,-0.3728648501
P12368,0.0821060511,-0.0853658383,-0.0893653093,0.0662716045,NA,NA,NA,NA,NA,NA,NA,NA
P12711,0.3822415952,-0.1585047576,0.0501975799,-0.2090768565,0.1423978506,-0.0346987243,-0.0031462693,-0.2162561438,0.2698718109,0.0107449529,0.128815703,0.0067738482
P12749,-0.0383712737,-0.1385168372,0.0453071053,0.1895168932,NA,NA,NA,NA,-0.1578143547,-0.0301514097,0.0868014863,-0.0035766791
P12785,0.1867737082,0.6422475308,-0.6330507625,-0.1343838379,0.7961678702,-0.0535729605,-0.8752781735,0.1488789533,0.7213424054,0.1463409489,-1.136226974,0.683219777
P12928,0.8335827205,-0.2736826917,0.0634304121,-0.8385407084,1.0929254398,-0.524924827,-0.1908633232,-0.4739219245,1.309095561,-1.0005242393,-0.2315662162,0.0481055642
P12938,-0.2065388646,0.1361643136,0.312962779,-0.280501064,0.073198942,-0.195224785,-0.0521575558,-0.1552542957,0.0437352803,-0.1672811762,0.0241297367,0.0311550067
P12938;P10634,0.3489243264,-0.2786090745,0.4142291779,-0.2895967422,0.2496134882,-0.2617021986,0.321023452,0.029062196,0.1039087081,-0.2676667811,0.1775268348,-0.1004984389
P12939,NA,NA,NA,NA,0.9674434219,-0.7328255193,-1.6820788379,1.4474609353,NA,NA,NA,NA
P13084,-0.0879149493,0.0930547361,-0.2767208914,0.0603825906,-0.0875285877,0.2500070651,-0.2408841858,0.0654289551,-0.0401552746,0.0689907761,-0.2014024284,-0.2182751151
P13086,-0.1900962134,0.2528087927,-0.0952298578,-0.0579621001,-0.2107133578,0.1220675357,-0.1790228102,0.1236398284,-0.208935265,0.3044644848,-0.0850122888,0.1092792223
P13107,0.513205523,-0.5034635516,0.2980813024,-0.3555338735,0.4186585784,-0.5216175324,0.3318344868,-0.2014139695,0.4435952025,-0.4544110661,0.1689690372,-0.2649308294
P13221,0.1383195599,-0.2863525748,0.1399455074,-0.0397274064,0.349454659,-0.0491362087,-0.2188299837,-0.1220837411,-0.0476782119,0.1036180061,0.1472545541,-0.0953863335
P13255,0.5496884218,-0.3367645845,0.0081997566,-0.2265215242,0.1605768059,-0.0700346134,0.1553691379,-0.1078273681,-0.1375419524,-0.0948663742,0.1903095749,-0.0080043586
P13383,0.0929649191,-0.0091469685,-0.2022054522,0.1501369651,0.077287287,0.2442105116,-0.2018944531,-0.0220934627,0.0580139331,0.2282874824,-0.1405394176,-0.2520673185
P13437,-0.7575648763,0.489959897,-0.1169373148,0.2429444055,-0.7253448254,0.4795112417,0.2005965182,0.1906330075,-0.4699158673,0.5370481781,0.1375639343,-0.2926336655
P13444,0.258599559,-0.1741457076,0.1445079223,0.0112695321,0.2319203573,-0.1971678514,-0.1649426622,0.1228816372,0.0248934609,-0.1328569117,0.0506600772,0.0748152413
P13471,-0.0397274424,-0.1892356066,0.1405858138,0.1690728979,NA,NA,NA,NA,-0.148041251,-0.1127660079,0.2385620297,0.0710348371
P13599,NA,NA,NA,NA,NA,NA,NA,NA,0.157832166,0.0080857751,0.2654326881,-0.4313506292
P13635,0.4762249324,-0.4558512527,-0.1793304112,0.2681309511,0.1757062035,-0.0031305501,0.2812644304,-0.448300048,NA,NA,NA,NA
P13676,-0.1965871522,0.323358196,-0.4107107528,0.2912741906,-0.2328123645,0.5699728486,-0.3650970942,0.0334201759,-0.3048976641,0.401452779,-0.4093115606,0.186439817
P13697,-1.0085899875,1.216251143,-1.0346097093,0.8110199897,-0.5444575853,0.7960899983,-0.8721245595,0.6318501485,-1.0595793258,1.1474648747,-1.1609132237,0.8017723053
P13721,0.4464672697,-0.4995063415,0.0668335374,-0.0284275388,NA,NA,NA,NA,NA,NA,NA,NA
P13803,-0.1095487094,0.1472944811,0.1428581129,-0.0935907887,-0.0089381052,0.2154068378,0.0729691341,0.0288886638,-0.053525011,0.0861393934,0.0714722566,-0.0608456941
P13832,NA,NA,NA,NA,0.3451404423,-0.337918461,0.1615141938,-0.2021016839,0.2456586282,-0.0287273727,0.2031735148,-0.3330348102
P14046,0.6684666592,0.1921176492,0.4522311217,-0.9022660422,0.2933732925,-0.2882672732,0.3092547965,-0.3992911667,0.282220969,-0.5463449951,-0.012210446,0.1461415817
P14046;Q03626,0.4605861644,0.1314460565,0.2451695811,-0.7968066361,0.1082221402,-0.0065391272,0.2036840872,-0.311920623,0.4192481097,-0.4213883198,-0.2316540214,0.227402531
P14141,0.7706762508,-0.9316275118,1.0340526861,-0.8574793249,0.0261454288,-0.8605093304,0.8813710401,-0.0166950518,0.0503193995,-0.7912606083,0.5591141255,0.0173272175
P14173,0.1003914179,-0.1773365801,0.1522163157,-0.6484625452,0.2310246807,0.001903098,-0.0528417744,-0.1193040608,0.5430540973,0.0135943088,-0.3021776791,0.0503132029
P14408,0.0618272547,-0.0051822504,0.1446599982,-0.1214938849,-0.052052354,-0.0828114638,0.0708179981,0.0356218427,0.0357390969,0.020718153,0.1192238636,-0.0215812387
P14480,0.2770014127,-0.2439334504,0.0921081288,0.4769382012,0.0234483366,-0.1397727027,0.5467117553,-0.4292182759,-0.126391561,0.4322798756,0.3230435839,-0.5307998787
P14562,0.1034704755,-0.124126086,0.0365325381,0.0797343296,NA,NA,NA,NA,-0.078160369,0.1827916097,-0.1296960482,0.1229954517
P14604,0.1378502215,-0.1773741131,0.262686715,-0.2023667094,0.1286827428,-0.1971948471,0.1965630196,-0.0995316238,0.2011249195,-0.1830225868,0.0746519151,-0.0423030584
P14668,0.1364765753,-0.1512917119,-0.2072235615,0.1550210343,-0.354415542,0.2004722332,-0.0130513205,0.0519563689,0.1834263313,0.0370325574,-0.2281258139,0.0741726552
P14669,0.1682230107,-0.3710605355,0.1740782202,0.1865985923,NA,NA,NA,NA,-0.0194031176,0.2222513503,0.173440455,-0.3121813127
P14740,0.3951659349,-0.19008846,0.2277722768,-0.4280633758,0.5042740659,0.0207054447,-0.0746298266,-0.3667378962,0.4425047243,-0.1857214528,-0.1624724973,-0.2292556205
P14882,0.0328601686,-0.0288718658,0.0124544497,0.084168324,0.1214820701,0.0578007579,0.0181956706,-0.1703574919,0.1039437779,-0.0096739626,-0.0467451917,-0.01679229
P14942,0.4303240226,-0.2661475246,0.0868790571,-0.1669712085,0.1849276609,-0.1532476841,0.0480388694,-0.1444603094,0.2303796065,-0.3154798014,0.340769049,-0.1930196816
